"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ENTREZID","symbol","genename"
"ENSG00000180139",0.328441991897659,-1.19746334466956,0.393628258383879,0.694827921429491,0.919654218137863,-5.37610625242026,"100132116","ACTA2-AS1","ACTA2 antisense RNA 1"
"ENSG00000182871",0.518953462864782,7.99017285678163,1.24536593490531,0.216373490004808,0.684200955632606,-5.37612854074625,"80781","COL18A1","collagen type XVIII alpha 1 chain"
"ENSG00000196951",0.182959637690411,-0.598893210013503,0.456864604887591,0.64891811205163,0.902016919881236,-5.37616903135512,"100129858","SCOC-AS1","SCOC antisense RNA 1"
"ENSG00000185721",0.249193709498252,4.83158780650469,1.1970160722595,0.234583405292919,0.699395213500445,-5.37624557964126,"4733","DRG1","developmentally regulated GTP binding protein 1"
"ENSG00000132718",-0.552009215054935,4.34368645619359,-1.16307248305158,0.248011176907548,0.707176812568068,-5.37630005606991,"23208","SYT11","synaptotagmin 11"
"ENSG00000180785",-0.379715540579743,-0.333713868619021,-0.48407730811557,0.629559165610231,0.896150747830839,-5.37630753893005,"143503","OR51E1","olfactory receptor family 51 subfamily E member 1"
"ENSG00000087495",0.327225522582526,-1.02500654156933,0.268897327681656,0.788651528706185,0.946102924728823,-5.37635058856073,"116154","PHACTR3","phosphatase and actin regulator 3"
"ENSG00000264235",0.131360368089243,-2.22157660668398,0.136181604085351,0.891995400582812,0.973589560094766,-5.37642407644264,"104968399","MYL12-AS1","MYL12A and MYL12B antisense RNA 1"
"ENSG00000176018",-0.461604783689608,4.74124051908797,-1.15808728373804,0.250028481083703,0.708554734869381,-5.37643446764826,"116068","LYSMD3","LysM domain containing 3"
"ENSG00000248746",-0.153487892363626,-2.20081794879435,-0.193070140280584,0.847358427139387,0.960638236355044,-5.37656749139399,"89","ACTN3","actinin alpha 3"
"ENSG00000104888",0.449026069431288,-0.218297675660538,0.460347486386845,0.646426534408329,0.900816819184909,-5.37665821097246,"57030","SLC17A7","solute carrier family 17 member 7"
"ENSG00000255153",0.210811020767564,-0.679416675277654,0.40710984643268,0.684936942563342,0.915222689727287,-5.37668420217388,"255512","TOLLIP-DT","TOLLIP divergent transcript"
"ENSG00000214894",0.214731030031583,-1.56698187022953,0.335861608306224,0.737791729296131,0.932264574798145,-5.37675433049449,"401247","LINC00243","long intergenic non-protein coding RNA 243"
"ENSG00000171612",-0.432776028546565,2.62387686330498,-0.925676435031796,0.357199674074615,0.775285098086361,-5.37677877654134,"84275","SLC25A33","solute carrier family 25 member 33"
"ENSG00000244187",0.507753365238356,3.02397654820817,0.919284457414401,0.360513286471258,0.777426364144108,-5.37678603286584,"85014","TMEM141","transmembrane protein 141"
"ENSG00000171243",-0.213001414168579,-3.11065039323668,-0.146890382981616,0.883561705491813,0.971044540571343,-5.37687219372843,"25928","SOSTDC1","sclerostin domain containing 1"
"ENSG00000226318",0.244720283379499,-0.64023778406729,0.397685724836913,0.691845437434041,0.918259823047641,-5.37709386705503,"100271594","RPS3AP38","RPS3A pseudogene 38"
