"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03022","Basal transcription factors",41,0.523396740407509,1.99661769196296,0.000133701707405923,0.00289965577936595,0.00289965577936595,4201,"tags=44%, list=21%, signal=35%","6873/2967/27097/51616/2960/54457/6882/6884/6874/2966/2957/6877/2969/6872/6881/2961/6875/2963",0.518848077743792
"hsa03083","Polycomb repressive complex",82,0.448135398768564,1.99648212650406,3.05066581994475e-05,0.00096234639956439,0.00096234639956439,4434,"tags=44%, list=22%, signal=34%","84678/6045/5931/55777/80816/22823/2033/11335/5928/404281/10389/23269/8726/3065/2146/26053/1387/10600/54880/51460/84108/10336/1876/7874/171023/54881/55252/85015/23512/84458/6322/57713/10238/3066/23429/26147",0.575610261071129
"hsa00982","Drug metabolism - cytochrome P450",42,-0.49732800109358,-1.97410046511144,0.000320766732929552,0.00530028839650259,0.00530028839650259,4313,"tags=48%, list=21%, signal=38%","4258/54658/1576/54575/373156/127/2326/4129/4257/1558/130/2950/2949/124/2327/125/2944/126/316/2947",0.49849310876659
"hsa00512","Mucin type O-glycan biosynthesis",33,-0.528297816819043,-1.97331630622644,0.00063878810421059,0.00852536431388749,0.00852536431388748,2022,"tags=33%, list=10%, signal=30%","63917/10331/11227/50614/64409/79623/51301/26290/57452/374378/117248",0.477270815362862
"hsa05171","Coronavirus disease",206,-0.3752903675397,-1.97106800793667,8.07003056343017e-08,5.60060121102054e-06,5.60060121102054e-06,3692,"tags=36%, list=18%, signal=30%","1437/5970/730/6170/6159/6193/4793/6157/6210/6209/6227/6168/6142/3921/1675/6124/6300/5600/6235/6207/6152/6233/629/6138/1440/4314/6155/6202/185/6158/6137/6774/6203/2353/2197/6130/6166/51121/5603/340061/6160/6154/6164/25873/6143/7132/6134/9349/6230/6122/4736/6223/6206/6234/3592/721/51065/6188/3661/6181/6205/6228/6176/6141/6403/200916/716/6217/718/720/6208/6147/6165/23521/715",0.704975715167238
"hsa03082","ATP-dependent chromatin remodeling",102,0.410976854125034,1.91431279525108,6.60509742762781e-05,0.00176305292875911,0.00176305292875911,4347,"tags=42%, list=21%, signal=33%","65980/8289/5931/51377/8295/9031/54617/54108/64431/5928/55193/404281/1108/54556/57634/6597/26122/2186/29994/196528/54815/3065/84295/11177/8467/8089/54107/6599/9643/54891/94239/79913/3015/6760/57504/9555/57459/6595/64769/6602/51773/3066/11176",0.538434096309916
"hsa03040","Spliceosome",151,0.378851896815972,1.89428818305447,9.12659523242416e-06,0.000395866068206398,0.000395866068206398,4570,"tags=36%, list=23%, signal=28%","9128/57187/9716/55110/10450/51729/6629/4686/84811/55119/9410/10772/51691/3192/494115/51340/10286/6635/1665/988/10915/9129/55660/7307/3183/23020/84991/220988/8683/10992/4116/6636/6632/23451/10262/9879/23658/4670/56259/10523/9939/27258/84950/23350/10713/58517/27316/11157/6627/79753/6429/9984/10946/6434",0.593325476396405
"hsa03460","Fanconi anemia pathway",51,0.470689756236729,1.89276701801496,0.000513595940245724,0.00742574130271943,0.00742574130271943,4182,"tags=43%, list=21%, signal=34%","675/83990/7398/2177/641/2176/29089/57697/55120/2187/80010/2175/55215/672/29935/146956/51455/4292/79728/84464/5395/116028",0.477270815362862
"hsa04977","Vitamin digestion and absorption",22,-0.546128785473825,-1.88425211159839,0.00329072620039314,0.0340821393347636,0.0340821393347636,5017,"tags=59%, list=25%, signal=44%","55788/5948/8029/4363/335/80704/81693/9963/151056/686/338/5826/113278",0.431707695803346
"hsa03420","Nucleotide excision repair",61,0.441538932411177,1.87133352972653,0.000242839104694907,0.00443500891205962,0.00443500891205962,2685,"tags=31%, list=13%, signal=27%","548644/5440/2967/246721/5983/5982/5426/10714/5111/5984/5427/5985/5431/2966/7507/54107/29935/8450/5981",0.518848077743792
"hsa00980","Metabolism of xenobiotics by cytochrome P450",45,-0.453974543160396,-1.83725863130137,0.00117471901147907,0.0145581248922585,0.0145581248922585,5278,"tags=51%, list=26%, signal=38%","8574/9446/119391/4258/54658/1576/54575/29785/373156/127/2052/374875/4257/130/2950/1645/2949/124/125/1545/2944/126/2947",0.45505986738723
"hsa00590","Arachidonic acid metabolism",53,-0.434975655696611,-1.80936649321055,0.00123306076787857,0.0147542098777195,0.0147542098777195,5448,"tags=42%, list=27%, signal=30%","8398/113612/284273/100137049/3248/1573/242/8605/247/4056/1558/59344/8644/54979/151056/145482/2687/391013/5322/5320/11145/5740",0.45505986738723
"hsa04610","Complement and coagulation cascades",74,-0.410702934079461,-1.80025532079782,0.000378167610810648,0.00570539830223022,0.00570539830223022,6567,"tags=58%, list=32%, signal=39%","5627/2153/5329/2162/1380/725/3078/7450/3687/1604/5648/729/2266/623/5328/84830/462/7056/3075/2155/3426/730/1675/10544/629/3053/5054/624/9002/7448/966/2152/721/5345/5104/710/2161/716/2159/718/720/1191/715",0.49849310876659
"hsa03410","Base excision repair",44,0.442100498190706,1.79641895235721,0.00333946033827655,0.0340821393347636,0.0340821393347636,3078,"tags=39%, list=15%, signal=33%","5423/3980/5983/5982/5426/10038/6996/10714/142/5111/3146/5984/5427/5985/54107/5981/2237",0.431707695803346
